ID_Cultivo;Nombre;ID_Campo;Campo;ID_Lote;Lote;Actividad;Actividad;Especie;Especie;Has a aplicar;Hectáreas;Puerto;Hectáreas Sembradas;Hectáreas Cosechadas;Puerto;Distancia Puerto;Código Sima;Coordenadas;Activo;ID_Dimension;Dimensión;ID_IT_Dimension;IT_Dimension;Socio;Ciclo;Peso 1000;Densidad;Años Rot/Dir;% E.G.;Antecesor;Pl.Nacidas;Pl.Cosecha;Nitrógeno PPM;Nitrógeno KG;Fosforo PPM;Fosforo KG;Materia Orgánica Sulfato;Materia Orgánica Total;Nitrógeno PPP 0-20;Nitrógeno KG 0-20;Nitrógeno PPP 20-40;Nitrógeno KG 20-40;Nitrógeno PPP 40-60;Nitrógeno KG 40-60;Azufre PPM;Azufre KG;Personal Responsable;Hectáreas Perdidas;Hectáreas No Cosechadas;Responsable;Zona;Categoría de semilla;Rinde Esperado;Es de agricultura intensiva
1237;LA TERESA 201 ARROZ 26/27;245;LA TERESA;803;201;50;ARROZ;42;ARROZ;;11;61;0;;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;;;;;;;;;;;;;;;;;;;;;;;56;;;RAFAEL HEISECKE;CENTRO;;0;
1238;LA TERESA 202A ARROZ 26/27;245;LA TERESA;779;202A;50;ARROZ;42;ARROZ;;21,57;61;0;;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;;;;;;;;;;;;;;;;;;;;;;;56;;;RAFAEL HEISECKE;CENTRO;;0;
1239;LA TERESA 202B ARROZ 26/27;245;LA TERESA;813;202B;50;ARROZ;42;ARROZ;;39,77;61;0;;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;;;;;;;;;;;;;;;;;;;;;;;56;;;RAFAEL HEISECKE;CENTRO;;0;
1240;LA TERESA 200 ARROZ 26/27;245;LA TERESA;812;200;50;ARROZ;42;ARROZ;;26,27;61;0;;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;;;;;;;;;;;;;;;;;;;;;;;56;;;RAFAEL HEISECKE;CENTRO;;0;
1241;LA TERESA 202C ARROZ 26/27;245;LA TERESA;1139;202C;50;ARROZ;42;ARROZ;;20,33;61;0;;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;;;;;;;;;;;;;;;;;;;;;;;56;;;RAFAEL HEISECKE;CENTRO;;0;
1242;LA TERESA 203 ARROZ 26/27;245;LA TERESA;782;203;50;ARROZ;42;ARROZ;;85,75;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1243;LA TERESA 204 ARROZ 26/27;245;LA TERESA;894;204;50;ARROZ;42;ARROZ;;78,18;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1244;LA TERESA 205A ARROZ 26/27;245;LA TERESA;780;205A;50;ARROZ;42;ARROZ;;71,72;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1245;LA TERESA 205C ARROZ 26/27;245;LA TERESA;756;205C;50;ARROZ;42;ARROZ;;18,43;61;0;;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;;;;;;;;;;;;;;;;;;;;;;;56;;;RAFAEL HEISECKE;CENTRO;;0;
1246;LA TERESA 205D ARROZ 26/27;245;LA TERESA;781;205D;50;ARROZ;42;ARROZ;;17,78;61;0;;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;;;;;;;;;;;;;;;;;;;;;;;56;;;RAFAEL HEISECKE;CENTRO;;0;
