actividad,campo,lote,zona,estadio,servicio,fechaTeorica,mes,tipoInsumo,insumo,unidadMedida,ordenTrabajo,contratista,fechaReal,dosisTeoricas,hectareasTeoricas,dosisReales,hectareasReales,totalAplicado,estado,facturada,fechaFacturacion,responsable,precioUnitario,costoLabor,costoInsumo,empresa,cultivo,categoria,insumoServicio,tipoInsumoServicio,fecha,unidadesDosis,total,socio,puntoStock,numeroOrdenTrabajo,referencia,cateogria_Hacienda,agrupadorCategoriaHacienda,rodeoHacienda,tipoHacienda,cantidadAnimales,negocioHacienda,hsPersonal,hsMaquinarias,iD_IT_Orden_Trabajo,personal,referenciaAsiento,campania,tercero,cantidadResultado,observaciones,descripcion,recursosPersonal,recursosMaquinaria,tipoItem,toneladas,tarifaCatac,cultivoTercero,velocidadAplicacion,velocidadViento,estadoClima,caudal
ARROZ,LA TERESA,Secadero,CENTRO,Secadero,,2026-07-22T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4128,,2026-07-22T00:00:00,6000,0.01,6000,0.01,60,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,77.292,Desarrollo del Sur SA,LA TERESA Secadero ARROZ 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-22T00:00:00,60,77.292,,SURTIDOR CENTRAL,0045430,2026 - OT - 4128,,,,,0,,0,0,107524,VIctor Alcaraz,2026 - STK - 9198,26/27,,0,Desague patio silo bolsa - Tr New Holland 7205,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,,Corte de Muro retro excavadora x Hs,2026-07-22T00:00:00,7,,,Horas,4129,Cedrela S.A,,1,0.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,74.2734,0,0,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Servicio,Corte de Muro retro excavadora x Hs,CUIDADOS,2026-07-22T00:00:00,0.01,0.7427,,,,2026 - OT - 4129,,,,,0,,0,0,107525,,,26/27,,,Cortar muro protección Duarte 1 y Duarte 2 ,,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,,Construccion de Puentes retro excavadora x Hs,2026-07-22T00:00:00,7,,,Horas,4130,Cedrela S.A,,1,0.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,74.2734,0,0,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Servicio,Construccion de Puentes retro excavadora x Hs,MANT.INFRAESTRUCTURA,2026-07-22T00:00:00,0.01,0.7427,,,,2026 - OT - 4130,,,,,0,,0,0,107526,,,26/27,,,Construcion de puente de número 21 zona de cambuchi viejo camino principal.,,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-22T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4131,,2026-07-22T00:00:00,4000,0.01,4000,0.01,40,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,51.528,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-22T00:00:00,40,51.528,,SURTIDOR CENTRAL,0045431,2026 - OT - 4131,,,,,0,,0,0,107527,Fretes Maidana Ramón,2026 - STK - 9199,26/27,,0,Logistica personal - Tr 14,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,Secadero,CENTRO,,Tractor x Hs bomba lata,2026-07-21T00:00:00,7,,,Horas,4127,Cedrela S.A,,1,0.01,0,,,Pendiente,NO,,RAFAEL HEISECKE,21.43,,0,Desarrollo del Sur SA,LA TERESA Secadero ARROZ 26/27,Servicio,Tractor x Hs bomba lata,CUIDADOS,2026-07-21T00:00:00,0.01,0.2143,,,,2026 - OT - 4127,,,,,0,,0,0,107026,,,26/27,,,Desagüe patio silo bolsa (200.000 gs x Hs) ,,,,Labor Tercero,,,,,,,
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-20T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4125,,2026-07-20T00:00:00,3090,0.01,3090,0.01,30.9,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,39.827,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-20T00:00:00,30.9,39.827,,SURTIDOR CENTRAL,0045427,2026 - OT - 4125,,,,,0,,0,0,106814,Ernesto Segovia,2026 - STK - 9194,26/27,,0,Logistica traslado de personal - Tr 14,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,,Construccion de Puentes retro excavadora x Hs,2026-07-20T00:00:00,7,,,Horas,4126,Cedrela S.A,,1,0.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,74.3098,0,0,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Servicio,Construccion de Puentes retro excavadora x Hs,MANT.INFRAESTRUCTURA,2026-07-20T00:00:00,0.01,0.7431,,,,2026 - OT - 4126,,,,,0,,0,0,106825,,,26/27,,,Contrición de puente numero 23 cambuchi viejo ,,,,Labor Tercero,,,,0,0,,0
SOJA,LA TERESA,.21A,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4113,Agro Continental S.A.,,1,30.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA .21A SOJA 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,30.01,990.33,,,,2026 - OT - 4113,,,,,0,,0,0,106691,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Mantenimientos de infraestructura,,2026-07-19T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4114,,2026-07-19T00:00:00,27500,0.01,27500,0.01,275,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,354.4475,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-19T00:00:00,275,354.4475,,SURTIDOR CENTRAL,0045422,2026 - OT - 4114,,,,,0,,0,0,106717,Vargas Acosta Diego,2026 - STK - 9189,26/27,,0,Arreglo de camino - Motoniveladora,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,202B,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4115,Agro Continental S.A.,,1,39.77,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 202B ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,39.77,1312.41,,,,2026 - OT - 4115,,,,,0,,0,0,106718,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
